NAME,SALARY,POS,AGE,MIN%,USG%,TO%,FT%,2P%,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Pascal Siakam,29000000 ,2,26.37,73.3,28.1,10.7,0.792,0.499,0.359,0.512,0.554,22.9,7.3,11,3.5,16.4,1.02,0.88,2.47,9.5,107.1,99.9
Pat Connaughton,4938272 ,1,27.61,38.7,12.3,13.8,0.775,0.607,0.331,0.547,0.565,5.4,4.2,11.2,1.6,10.9,0.36,0.48,0.76,7.1,113.4,100.5
Patrick Beverley,13333333 ,1,32.09,54.8,13.3,15.4,0.66,0.496,0.388,0.548,0.56,7.9,5.2,10.3,3.6,18.2,1.06,0.49,1.29,8,115.1,97.9
Patrick McCaw,4000000 ,1,24.81,51.1,9.4,14.6,0.722,0.484,0.324,0.485,0.5,4.6,2.3,5,2.1,11.5,1.05,0.11,0.78,4.6,105.1,104
Patty Mills,13285714 ,1,32.01,46.9,20.4,7.7,0.866,0.533,0.382,0.56,0.592,11.6,1.6,3.9,1.8,11.4,0.8,0.09,0.82,5.7,115.3,111.1
Paul George,35450412 ,2,30.29,61.6,29.6,12.5,0.876,0.464,0.412,0.539,0.589,21.5,5.7,10,3.9,21.1,1.4,0.42,2.6,10.6,111.9,100.9
Paul Millsap,10000000 ,2,35.51,50.7,20,12.3,0.816,0.5,0.435,0.543,0.591,11.6,5.7,13.2,1.6,9.6,0.86,0.59,1.37,7.8,115.8,100.9
Quinn Cook,1000000 ,1,27.4,24.1,21.1,13,0.786,0.462,0.365,0.495,0.506,5.1,1.2,5.6,1.1,13.8,0.27,0.05,0.75,6.6,98.4,107.3
Rajon Rondo,7500000 ,1,34.48,42.7,18.7,20.9,0.659,0.475,0.328,0.482,0.496,7.1,3,7.9,5,32.8,0.81,0.04,1.9,9.2,102.6,104.6
Raul Neto,1882867 ,1,28.24,25.8,18.6,16.3,0.83,0.504,0.386,0.534,0.569,5.1,1.1,5,1.8,20.3,0.44,0.11,0.87,7,108.8,106.4
Rayjon Tucker,340000 ,1,22.89,17.7,16.5,13.1,0.826,0.654,0.176,0.5,0.584,3.3,1.1,6.8,0.3,4.4,0.05,0.05,0.42,4.8,109,108.4
Reggie Bullock,4200000 ,1,29.42,49.2,15.6,7.5,0.81,0.469,0.333,0.484,0.502,8.1,2.3,5.3,1.4,8.8,0.86,0.1,0.66,5,104.8,109.3
Richaun Holmes,5005350 ,2,26.83,58.8,15.7,11.6,0.788,0.646,0,0.646,0.679,12.3,8.1,16.2,1,5.1,0.93,1.27,1.18,6.6,130.6,99.6
Ricky Rubio,17000000 ,1,29.82,64.6,20.4,17.9,0.863,0.439,0.361,0.471,0.535,13,4.7,8.4,8.8,39.7,1.45,0.17,2.66,10.5,112.4,105.2
RJ Barrett,8231760 ,2,20.17,63.4,24,12.9,0.614,0.432,0.32,0.445,0.479,14.3,5,8.8,2.6,12.8,0.95,0.3,2.21,7.5,94.9,109.3
Robin Lopez,7300000 ,3,32.37,30.2,16.6,16.4,0.528,0.577,0.333,0.55,0.554,5.4,2.4,8.3,0.7,6.3,0.15,0.68,0.95,5.8,100.9,98.3
Rodions Kurucs,1780152 ,2,22.52,30.3,14.7,19.2,0.632,0.529,0.367,0.54,0.555,4.6,2.9,10.4,1.1,10.4,0.53,0.11,0.98,6.8,100.5,97.8
Rodney Hood,10047450 ,1,27.82,61.4,13.9,9.4,0.778,0.515,0.493,0.608,0.625,11,3.4,6.1,1.5,7,0.81,0.19,0.9,5.2,120.7,112.4
Rodney McGruder,5000000 ,1,29.05,32.4,10.6,10.9,0.559,0.522,0.27,0.464,0.477,3.3,2.7,9,0.7,5.5,0.46,0.14,0.43,4.7,99.8,102.3
Romeo Langford,3631200 ,1,20.81,24.1,11.8,10.8,0.72,0.434,0.185,0.381,0.434,2.5,1.3,5.9,0.4,4.5,0.22,0.25,0.34,3.8,94.5,104.8
Royce O'Neale,8035714 ,2,27.2,60.1,9.6,13.5,0.764,0.545,0.377,0.559,0.578,6.3,5.5,10.4,2.5,11.6,0.83,0.45,0.86,6.1,116.5,101.1
Rudy Gay,14000000 ,2,34,45.4,22,11.8,0.882,0.511,0.336,0.508,0.553,10.8,5.4,13.4,1.7,11.3,0.52,0.49,1.31,8.5,106.7,108.2
Rudy Gobert,26525281 ,3,28.13,71.5,16.2,15,0.63,0.693,0,0.693,0.699,15.1,13.5,21.7,1.5,6.6,0.72,1.97,1.91,7.9,130,99.2
Rui Hachimura,4692840 ,2,22.52,62.7,19,8,0.829,0.5,0.287,0.489,0.535,13.5,6.1,11.1,1.8,8.8,0.77,0.17,1.1,7,110,111.8
