NAME,SALARY,POS,AGE,MIN%,USG%,TO%,FT%,2P%,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Buddy Hield,24431818 ,1,26.66,64.1,27.2,12.1,0.846,0.478,0.394,0.545,0.565,19.2,4.6,8.3,3,15.5,0.93,0.24,2.33,8.3,106,108.7
Caleb Martin,1517981 ,2,24.88,36.7,15,13.9,0.81,0.362,0.541,0.56,0.595,6.2,2.1,6.6,1.3,11.1,0.67,0.39,0.83,5.8,113.2,105.9
Cam Reddish,4458000 ,2,20.95,55.7,18.9,13.5,0.802,0.428,0.332,0.459,0.5,10.5,3.7,7.5,1.5,8,1.07,0.48,1.64,5.8,95,110.5
Cameron Johnson,4235160 ,2,24.45,45.9,15.7,6.9,0.807,0.526,0.39,0.565,0.586,8.8,3.3,8.3,1.2,7.7,0.61,0.35,0.56,5.9,116.7,108.2
Cameron Payne,1977011 ,1,26.02,47.7,19.1,13.4,0.857,0.462,0.517,0.596,0.612,10.9,3.9,9.4,3,19.4,1,0.25,1.38,8.8,114.7,102.1
Caris LeVert,16203704 ,1,25.97,61.6,29.4,12.5,0.711,0.451,0.364,0.48,0.514,18.7,4.2,7.3,4.4,25,1.18,0.22,2.6,9.5,102.2,106.8
Carmelo Anthony,2564753 ,2,36.21,68.3,21.2,10.5,0.845,0.448,0.385,0.485,0.525,15.4,6.3,10.2,1.5,6.4,0.84,0.47,1.72,6.4,103.2,109
Carsen Edwards,1517981 ,1,22.43,19.7,18.4,9.9,0.684,0.346,0.316,0.422,0.444,3.3,1.3,7.2,0.6,9.3,0.32,0.11,0.41,5.8,92.3,101.6
Cedi Osman,8750000 ,2,25.35,61.2,16.6,12.3,0.67,0.497,0.383,0.538,0.552,11,3.6,6.7,2.4,11.6,0.83,0.25,1.4,6.2,107.7,110.3
Chandler Hutchison,2443440 ,2,24.3,39.2,19.1,11.4,0.59,0.496,0.316,0.491,0.521,7.8,3.9,11.3,0.9,7.4,0.96,0.25,0.96,6.4,101.2,103.3
Chimezie Metu,50000 ,2,23.4,12.2,23.7,17.3,0.769,0.6,0,0.571,0.608,3.2,1.8,16.9,0.6,14.8,0.17,0.33,0.56,10.3,113,108.4
Chris Boucher,6490385 ,2,27.59,27.5,19.8,7.4,0.784,0.569,0.322,0.535,0.587,6.6,4.5,17.9,0.4,4.8,0.37,1,0.45,6.9,123.1,92.4
Chris Clemons,1517981 ,1,23.06,18.3,23.6,11.5,0.909,0.571,0.346,0.532,0.548,4.9,0.9,5.4,0.8,14.3,0.24,0.15,0.58,6.9,104.4,106.5
Chris Paul,41358814 ,1,35.28,65.7,23.3,13.8,0.907,0.554,0.365,0.552,0.61,17.6,5,8.8,6.7,34,1.59,0.16,2.3,10.6,120.4,103
Chris Silva,1517981 ,2,23.9,16.4,17.2,24.4,0.673,0.64,0,0.615,0.651,3,2.9,20.3,0.5,9.9,0.18,0.48,0.75,8.3,119.6,85.1
Christian Wood,13015874 ,2,24.88,44.5,23,12,0.745,0.636,0.386,0.62,0.659,13.1,6.3,16.7,1,7.6,0.55,0.89,1.35,8.1,122.6,106.3
CJ McCollum,29354152 ,1,28.9,76.1,25.9,8.1,0.757,0.494,0.379,0.522,0.541,22.2,4.3,6.1,4.4,19.1,0.77,0.6,1.81,8.2,110.8,113.1
Clint Capela,16000000 ,3,26.24,68.3,16.1,12.7,0.529,0.629,0,0.629,0.626,13.9,13.8,22,1.2,5.7,0.87,1.79,1.62,7.5,123.4,101.9
Coby White,5572680 ,1,20.49,53.7,24.4,11.4,0.791,0.43,0.354,0.478,0.506,13.2,3.6,7.6,2.7,16.6,0.75,0.09,1.68,7.8,100.2,108.3
Cody Martin,1517981 ,2,24.88,39.2,13.6,15.7,0.646,0.546,0.234,0.473,0.505,5,3.3,9.6,2,15.8,0.81,0.19,0.92,6.8,104.7,105.9
Cody Zeller,15415730 ,3,27.86,48.2,20.8,11.8,0.682,0.575,0.24,0.542,0.574,11.1,7.1,16.8,1.5,11.3,0.69,0.43,1.29,8.5,115.2,103
Collin Sexton,4991880 ,1,21.61,68.7,27.2,11.6,0.846,0.5,0.38,0.517,0.56,20.8,3.2,5.3,3,15.1,1.02,0.11,2.43,7.1,108.5,112.9
Cory Joseph,12600000 ,1,28.99,50.9,12.9,15.3,0.857,0.455,0.352,0.483,0.517,6.4,2.6,6,3.5,19.1,0.74,0.29,1.11,6.4,110.1,109.6
D.J. Augustin,6666667 ,1,32.76,51.9,19.1,13.7,0.89,0.438,0.348,0.475,0.554,10.5,2.1,4.6,4.6,26.8,0.58,0.02,1.51,7.5,113.9,110
D.J. Wilson,4548280 ,2,24.49,20.4,18.1,12,0.611,0.576,0.247,0.462,0.475,3.6,2.5,12.5,0.7,9.1,0.08,0.14,0.51,7.5,94.1,96.7
Damian Jones,1737145 ,3,25.13,33.6,11.4,11.5,0.738,0.704,0.222,0.685,0.712,5.6,3.7,12.5,0.6,5.6,0.47,0.73,0.51,5.8,137,101.2
Damian Lillard,31626953 ,1,30.09,78.1,30.3,11,0.888,0.525,0.401,0.563,0.628,30,4.3,6,8,34.4,1.06,0.33,2.94,10.8,126.1,115.5
Damion Lee,1762796 ,1,27.81,60.5,19,10.6,0.873,0.471,0.356,0.5,0.548,12.7,4.9,9.1,2.7,14.4,1.02,0.12,1.37,7.6,108,108.4
Damyean Dotson,2000000 ,1,26.28,36.3,16.5,6.5,0.667,0.48,0.362,0.516,0.527,6.7,1.9,5.8,1.2,10,0.48,0.08,0.44,5.7,109.6,112.8
Daniel Gafford,1517981 ,2,21.87,29.5,13.3,15.3,0.533,0.701,0,0.701,0.686,5.1,2.5,9.6,0.5,5.2,0.3,1.3,0.67,5.2,123.7,99.2
Daniel Theis,5000000 ,2,28.36,50.2,14.4,10.2,0.763,0.633,0.333,0.603,0.631,9.2,6.5,14.5,1.7,10.1,0.57,1.29,0.83,7.7,129.3,95.5
Danilo Gallinari,19500000 ,2,32.02,61.6,24.6,7.4,0.893,0.476,0.405,0.547,0.612,18.7,5.2,9.6,1.9,10.3,0.68,0.08,1.23,7.7,119.7,107.6
Danny Green,15365854 ,1,33.15,51.7,13.9,11.3,0.688,0.524,0.367,0.542,0.552,8,3.3,7.3,1.3,7.1,1.24,0.46,0.93,5.2,107.8,102.1
Danuel House,3717000 ,2,27.19,63.3,13.7,8.5,0.811,0.549,0.363,0.546,0.572,10.5,4.2,7.3,1.3,6.1,1.06,0.54,0.86,5.1,114.1,107.6
DaQuan Jeffries,1445697 ,1,22.96,22.6,13.7,4.5,0.833,0.682,0.278,0.563,0.586,3.8,1.4,7.2,0.5,7.1,0.31,0.08,0.15,5.1,120.8,102.4
Darius Bazley,2399160 ,2,20.17,38.6,15.2,11.6,0.694,0.432,0.348,0.472,0.497,5.6,4,12,0.7,5.1,0.38,0.67,0.74,5.4,96.2,105.9
Darius Garland,6720720 ,1,20.55,64.4,20.6,17.1,0.875,0.435,0.355,0.476,0.499,12.3,1.9,3.3,3.9,18.5,0.69,0.07,2.54,5.8,96.3,115.7
De'Aaron Fox,8099627 ,1,22.65,66.8,29.8,14.1,0.705,0.535,0.292,0.513,0.558,21.1,3.8,6.7,6.8,35.2,1.45,0.49,3.12,10.2,110.4,106.7
De'Andre Hunter,7422000 ,2,22.7,66.7,17.5,12.1,0.764,0.454,0.355,0.489,0.521,12.3,4.5,7.6,1.8,7.9,0.7,0.29,1.63,5.8,99.6,110.9
De'Anthony Melton,7812500 ,1,22.22,40.5,19.2,15.6,0.769,0.464,0.286,0.451,0.501,7.6,3.7,9.9,2.9,20.1,1.27,0.33,1.4,8.9,102,102.5
Dean Wade,1517981 ,2,23.73,12.4,9.8,18.2,0,0.778,0.5,0.769,0.744,1.7,1.6,14.8,0.2,4,0.17,0.33,0.25,5.4,121.8,104
Deandre Ayton,10018200 ,3,22.06,67.8,23.6,11.6,0.753,0.553,0.231,0.548,0.568,18.2,11.5,19.6,1.9,9.6,0.66,1.53,2.11,9.1,110.4,102.9
DeAndre Jordan,10375678 ,3,32.07,45.9,14.1,17.8,0.68,0.666,0,0.666,0.682,8.3,10,23.5,1.9,12.6,0.32,0.93,1.32,9.8,127.5,98.3
DeAndre' Bembry,1737145 ,1,26.12,44.4,14,19.4,0.542,0.546,0.231,0.489,0.5,5.8,3.5,8.9,1.9,12.2,1.28,0.44,1.4,6.3,94.9,108.2
Dejounte Murray,14285714 ,1,23.9,53.2,20.8,15.4,0.798,0.481,0.369,0.494,0.524,10.9,5.8,12.3,4.1,23.1,1.68,0.26,1.89,10,104.7,104.4
Delon Wright,9000000 ,1,28.3,44.8,14.4,13.8,0.77,0.504,0.367,0.518,0.553,6.9,3.8,9.4,3.3,21.1,1.15,0.3,1,8.2,119,107.1
DeMar DeRozan,27739975 ,2,31.02,71,26.3,11.6,0.844,0.54,0.257,0.535,0.603,22.1,5.5,8.8,5.6,26,1.03,0.29,2.41,10.3,118.3,108.6
Dennis Smith Jr.,5686677 ,1,22.72,32.9,23.1,19.8,0.509,0.357,0.296,0.379,0.399,5.5,2.3,7.7,2.9,26.3,0.82,0.24,1.71,8.4,84.2,103.1
Denzel Valentine,4642800 ,1,26.75,28.2,23.3,9.8,0.75,0.51,0.336,0.506,0.511,6.8,2.1,8.4,1.2,14.2,0.72,0.17,0.72,7.6,100.3,102.5
Derrick Favors,9258000 ,2,29.09,50.8,14,13,0.563,0.628,0.143,0.62,0.622,9,9.8,21.3,1.6,9.2,0.59,0.9,1.08,8.5,124.5,103.9
Derrick Jones Jr.,9268293 ,2,23.5,48.6,13.9,6.9,0.772,0.677,0.28,0.58,0.62,8.5,3.9,9.5,1.1,6.7,1,0.63,0.51,5.7,125.8,102.5
Derrick Rose,7682927 ,1,31.86,54.1,31.6,13.4,0.871,0.535,0.306,0.52,0.555,18.1,2.4,5.3,5.6,40.5,0.8,0.34,2.52,9.6,109.6,114
Derrick White,3516284 ,1,26.12,51.4,18.9,12.1,0.853,0.518,0.366,0.53,0.593,11.3,3.3,7.1,3.5,20,0.66,0.85,1.31,8.2,118,108.1
Devin Booker,29430000 ,1,23.79,74.8,30,14.9,0.919,0.549,0.354,0.544,0.618,26.6,4.2,6.5,6.5,30,0.69,0.26,3.77,10,115.3,107.3
Devonte' Graham,1663861 ,1,25.48,73.1,24.8,14.5,0.82,0.397,0.373,0.495,0.537,18.2,3.3,5.2,7.5,35.4,0.98,0.24,2.87,8.7,109.6,112.4
Dillon Brooks,11400000 ,1,24.56,60.3,25.2,9.7,0.808,0.44,0.357,0.477,0.511,16.2,3.3,6.1,2.1,10.5,0.86,0.37,1.7,6.7,100.2,102.5
Domantas Sabonis,17187500 ,2,24.28,72.5,23.3,14.9,0.723,0.565,0.254,0.551,0.587,18.5,12.4,19.6,5,21.7,0.73,0.48,2.76,12,115,99.1
Donovan Mitchell,5195501 ,1,23.94,71.4,30.8,11,0.863,0.494,0.366,0.513,0.558,24,4.4,7.1,4.3,21.6,1.01,0.2,2.67,9,109.5,105.7
Donte DiVincenzo,3044160 ,1,23.54,48,17.3,14.1,0.733,0.567,0.336,0.536,0.557,9.2,4.8,10.3,2.3,13.6,1.33,0.32,1.36,8.1,108.1,96.6
Dorian Finney-Smith,4000000 ,2,27.28,62.2,12.9,10.8,0.722,0.589,0.376,0.575,0.595,9.5,5.7,10,1.6,7.2,0.63,0.55,0.97,5.9,121.1,106.7
Doug McDermott,7333333 ,2,28.61,41.4,19.6,6.8,0.828,0.549,0.435,0.605,0.62,10.3,2.5,6.9,1.1,8.4,0.17,0.09,0.61,6.1,117.3,105.3
Draymond Green,22246956 ,2,30.45,59.2,15.7,21.8,0.759,0.468,0.279,0.448,0.491,8,6.2,11.8,6.2,31.2,1.37,0.77,2.28,9.5,100.6,105.2
Drew Eubanks,1620564 ,2,23.53,25.8,15.8,21.1,0.769,0.636,1,0.649,0.682,4.9,3.9,16.8,0.7,7.7,0.23,0.77,0.95,7.7,119.5,101.3
Duncan Robinson,1663861 ,2,26.32,61.8,16,8.8,0.931,0.654,0.446,0.667,0.684,13.5,3.2,6,1.4,7.1,0.48,0.26,0.95,5.3,122.2,105.3
Dwayne Bacon,1678854 ,1,24.96,36.7,19.5,12.2,0.66,0.373,0.284,0.387,0.419,5.7,2.6,8,1.3,11.7,0.59,0.05,0.95,6.1,86.5,107.9
Dwight Howard,2564753 ,3,34.69,39.4,14.7,18.6,0.514,0.732,0.6,0.735,0.696,7.5,7.3,21.2,0.7,4.8,0.46,1.14,1.23,7.1,123.5,90
Dwight Powell,10185185 ,2,29.07,55.2,12.7,11.8,0.667,0.716,0.256,0.659,0.677,9.4,5.7,11.3,1.5,7.7,0.88,0.53,0.93,6.5,132.3,104.1
E'Twaun Moore,2331593 ,1,31.47,37.9,19.9,8.1,0.689,0.456,0.377,0.498,0.51,8.3,2.3,6.8,1.4,11,0.57,0.2,0.71,6.6,103.7,108.9
Ed Davis,5005350 ,2,31.2,22.6,9.4,20,0.5,0.478,0,0.478,0.489,1.8,3.8,19,0.4,5.2,0.39,0.32,0.46,5.2,109,88.2
Edmond Sumner,2160000 ,1,24.62,30,17.3,11.9,0.552,0.528,0.264,0.479,0.491,4.9,1.5,5.5,1.8,16.7,0.48,0.29,0.68,6.6,101,103.3
Enes Kanter,5005350 ,3,28.24,35.3,19.4,12.5,0.707,0.581,0.143,0.573,0.599,8.1,7.4,23.5,1,8.8,0.4,0.71,0.97,9.2,122.1,97
Eric Bledsoe,16875000 ,1,30.68,56.2,23.7,15.6,0.79,0.531,0.344,0.526,0.57,14.9,4.7,8.6,5.4,28.7,0.92,0.43,2.43,10.7,111.4,98.2
Eric Gordon,16869276 ,1,31.64,58.8,22.5,7.8,0.766,0.469,0.317,0.473,0.51,14.4,2,3.7,1.5,7.9,0.64,0.33,1.19,5,101,109.7
Eric Paschall,1517981 ,2,23.78,57.4,21.4,11.3,0.774,0.549,0.287,0.525,0.57,14,4.6,9,2.1,12.7,0.53,0.22,1.57,7.4,110,110.8
Evan Fournier,17000000 ,1,27.79,65.5,24,10.8,0.818,0.526,0.399,0.56,0.595,18.5,2.6,4.4,3.2,16.6,1.08,0.23,1.88,6.8,112.2,106.3
Frank Jackson,250000 ,1,22.28,28.1,21.2,11.9,0.747,0.465,0.326,0.476,0.51,6.3,1.4,5.5,1,10.8,0.29,0.07,0.83,6.1,99.6,108.1
Frank Ntilikina,6176578 ,1,22.05,43.4,15.4,16.5,0.864,0.444,0.321,0.459,0.497,6.3,2.1,5.4,3,20.2,0.95,0.28,1.25,6.6,102.6,104.4
Fred VanVleet,21250000 ,1,26.47,74.4,21.7,12.2,0.848,0.434,0.39,0.507,0.553,17.6,3.8,5.6,6.6,27.7,1.8,0.31,2.2,8.5,112.9,102.6
Furkan Korkmaz,1762796 ,1,23.06,45.1,18.4,8.8,0.755,0.476,0.402,0.556,0.578,9.8,2.3,5.9,1.1,7.3,0.57,0.22,0.82,5.4,110.3,107.8
Garrett Temple,4767000 ,1,34.27,58.1,16.6,9,0.805,0.473,0.329,0.486,0.513,10.3,3.5,6.5,2.5,12.8,0.79,0.47,1,6.4,105.8,107.2
Gary Harris,19160714 ,1,25.92,66.2,15.1,9.7,0.815,0.479,0.333,0.487,0.519,10.4,2.9,5.1,2.1,8.9,1.36,0.25,1.07,5,104.8,109.2
Gary Trent Jr.,1663861 ,1,21.57,45.5,15.3,4.4,0.822,0.486,0.418,0.571,0.587,8.9,1.6,3.9,1,6.3,0.79,0.26,0.34,4.4,120.7,114
George Hill,9590602 ,1,34.28,44.9,15.5,11.9,0.842,0.565,0.46,0.624,0.659,9.4,3,6.9,3.1,19,0.8,0.08,0.97,8.3,130.3,100.4
Georges Niang,1783557 ,2,27.16,29.1,17.2,8.3,0.833,0.526,0.4,0.578,0.589,5.9,1.9,7.6,0.7,6.9,0.27,0.08,0.45,5.7,113,105.1
Giannis Antetokounmpo,27528090 ,2,25.69,63.4,37.5,13.2,0.633,0.631,0.304,0.589,0.613,29.5,13.6,22.1,5.6,34.2,0.98,1.05,3.65,17.2,116.1,90.2
Goga Bitadze,2957520 ,3,21.07,18.2,17.8,14.1,0.727,0.574,0.19,0.493,0.523,3.2,1.9,12.1,0.4,6.7,0.19,0.69,0.5,6.2,99.1,96.6
Gordon Hayward,28500000 ,2,30.4,69.7,21.1,11.2,0.855,0.554,0.383,0.561,0.595,17.5,6.7,10.7,4.1,18.8,0.73,0.42,1.85,9.4,118.1,105.5
Grant Williams,2498760 ,2,21.71,31.5,11.6,17.6,0.722,0.548,0.25,0.469,0.505,3.4,2.6,9.1,1,8.4,0.43,0.52,0.72,5.5,102.9,95.4
Grayson Allen,2545320 ,1,24.85,39.4,17.6,10.9,0.867,0.545,0.404,0.58,0.609,8.7,2.2,6.2,1.4,10,0.32,0.05,0.87,6.3,113.6,108.9
Hamidou Diallo,1663861 ,1,22.04,40.6,18.4,13.6,0.603,0.485,0.281,0.473,0.491,6.9,3.6,10.3,0.8,5.9,0.8,0.2,1.11,5.6,94.3,99.5
Harrison Barnes,22215909 ,2,28.21,71.8,17.4,8.8,0.801,0.502,0.381,0.525,0.575,14.5,4.9,8,2.2,9.3,0.6,0.17,1.22,6.2,115.7,114
Harry Giles,1678854 ,2,22.32,30.2,20.6,13.9,0.776,0.558,0,0.554,0.58,6.9,4.1,15.9,1.3,14.2,0.48,0.39,0.96,9.2,111.1,94
Hassan Whiteside,2320044 ,3,31.17,62.4,19.6,12.9,0.686,0.622,0.571,0.624,0.644,15.5,13.5,23.6,1.2,5.9,0.39,2.93,1.79,8.4,124.4,103.5
Ignas Brazdeikis,1517981 ,2,21.6,12.3,20.9,7.6,0.8,0.385,0.111,0.295,0.351,1.9,0.6,5,0.4,10.5,0,0.11,0.22,5.2,82.3,115.2
Isaac Bonga,1663861 ,1,20.77,39.4,10.9,17.4,0.812,0.571,0.352,0.558,0.608,5,3.4,9.7,1.2,7.9,0.68,0.33,0.86,5.8,115.8,106.3
Isaiah Hartenstein,1445697 ,3,22.28,24.1,14.8,16.8,0.679,0.71,0,0.657,0.674,4.7,3.9,17.7,0.8,10,0.39,0.52,0.7,8.4,127.6,95.5
Ish Smith,6146341 ,1,32.11,54.7,19.1,11.6,0.721,0.473,0.367,0.492,0.509,10.9,3.2,6.7,4.9,27.1,0.88,0.44,1.4,8.4,107.8,113.9
Ivica Zubac,7000000 ,3,23.41,38.4,16.4,11.7,0.747,0.613,0,0.61,0.648,8.3,7.6,21.3,1.1,9.1,0.22,0.92,0.85,8.9,132.1,95.4
J.J. Barea,2564753 ,1,36.13,32.3,24.2,14.9,0.909,0.434,0.376,0.488,0.512,7.7,1.8,6.2,3.9,37.1,0.17,0.07,1.31,9.8,108.6,110.7
Ja Morant,9166800 ,1,21.01,64.5,25.9,17,0.776,0.511,0.335,0.509,0.556,17.8,3.9,6.5,7.3,35.2,0.88,0.27,3.28,10.3,108.4,110.7
Jahlil Okafor,1882867 ,3,24.67,32.4,19.9,16.7,0.645,0.629,0.333,0.627,0.642,8.1,4.2,14.4,1.2,12,0.23,0.73,1.27,8.8,116.6,101.1
JaKarr Sampson,1882867 ,2,27.41,28.8,13.2,10.6,0.667,0.647,0.154,0.6,0.615,4.6,2.6,10.2,0.6,6.1,0.47,0.35,0.44,5.6,117.6,96.9
Jake Layman,3761085 ,2,26.44,45.8,17.7,11.1,0.75,0.533,0.333,0.52,0.544,9.1,2.5,5.9,0.7,4.4,0.74,0.39,1.04,4.6,102.2,108.3
Jakob Poeltl,8101852 ,3,24.83,37,13.1,14.9,0.465,0.624,0,0.624,0.612,5.6,5.7,17.2,1.8,13.7,0.56,1.45,0.8,8.7,125.5,103.5
Jalen Brunson,1663861 ,1,23.95,37.4,20.3,13.6,0.813,0.515,0.358,0.522,0.553,8.2,2.4,6.9,3.3,27,0.39,0.07,1.16,9,113.6,108.3
Jalen Lecque,1517981 ,1,20.17,13.2,17.3,15.5,1,0.667,0,0.4,0.46,2,0.4,3.5,0.4,8.7,0,0,0.4,4.3,85.5,108.5
Jalen McDaniels,1517981 ,2,22.54,38.2,13.4,13.4,0.824,0.522,0.375,0.536,0.574,5.6,4.1,12.1,0.8,6.7,0.5,0.19,0.75,5.8,110.9,101.7
Jamal Murray,29250000 ,1,23.47,67.2,25.2,11.5,0.881,0.519,0.346,0.519,0.559,18.5,4,6.9,4.8,22.9,1.14,0.29,2.15,8.8,111.5,110.3
JaMychal Green,7199760 ,2,30.15,43.2,13.7,12.6,0.75,0.518,0.387,0.56,0.576,6.8,6.2,15.4,0.8,5,0.46,0.38,0.86,6.2,111.6,94.9
Jared Dudley,2564753 ,2,35.1,16.8,8,11.6,1,0.333,0.429,0.55,0.558,1.5,1.2,7.8,0.6,9.5,0.33,0.07,0.18,5.1,116.8,98.6
Jaren Jackson Jr.,7257360 ,2,20.92,59.3,24,10.6,0.747,0.54,0.394,0.565,0.593,17.4,4.6,8.5,1.4,7.2,0.68,1.61,1.74,6.8,109.3,100.2
Jarrett Allen,3909902 ,3,22.32,55.1,14.9,11.7,0.633,0.658,0,0.649,0.664,11.1,9.6,18.7,1.6,8.9,0.57,1.31,1.1,8.4,131.3,101
Jarrett Culver,6104280 ,1,21.48,49.8,19.2,11.7,0.462,0.471,0.299,0.462,0.467,9.2,3.4,7.5,1.7,10.8,0.89,0.62,1.3,6.3,94.5,108.7
JaVale McGee,4200000 ,3,32.57,34.6,14.8,13.9,0.646,0.64,0.5,0.642,0.652,6.6,5.8,18.9,0.5,4.6,0.53,1.37,0.81,6.4,123,93.2
Javonte Green,1517981 ,1,27.06,20.3,15.3,13.7,0.667,0.581,0.273,0.536,0.564,3.4,1.9,10.6,0.5,7.7,0.5,0.17,0.48,6.1,109.6,100.2
Jaxson Hayes,5105160 ,3,20.23,35.1,15,13.4,0.647,0.676,0.25,0.671,0.687,7.4,4.1,12.8,0.9,7.2,0.41,0.88,0.83,7.1,129.3,100.4
Jaylen Brown,22991071 ,2,23.81,70.7,24.7,11.2,0.724,0.543,0.382,0.554,0.583,20.3,6.4,10.1,2.1,9.7,1.16,0.35,2.19,7.7,110.2,101.6
Jaylen Nowell,1517981 ,1,21.35,21,17.3,4.7,0.941,0.593,0.115,0.387,0.471,3.8,0.9,4.5,1.3,17.8,0.2,0,0.2,6.5,109.7,111.6
Jayson Tatum,9897120 ,2,22.45,71.5,28.6,10.1,0.812,0.479,0.403,0.527,0.567,23.4,7,10.9,3,14.5,1.42,0.86,2.33,9.2,110.5,103.5
Jeremy Lamb,10500000 ,1,28.21,58.5,19.6,8.7,0.836,0.508,0.335,0.506,0.547,12.5,4.3,8.4,2.1,10.5,1.17,0.48,1.09,6.9,107.7,103
Jerian Grant,1882867 ,1,27.85,27.9,17.1,9.1,0.714,0.421,0.25,0.407,0.449,4.5,1,4.1,1.5,15.2,0.17,0.17,0.5,5.6,98.7,108.4
Jevon Carter,3549383 ,1,24.92,34,12.9,10.8,0.852,0.402,0.425,0.543,0.563,4.9,2,6.9,1.4,11.9,0.78,0.29,0.53,5.9,113.7,105.1
Jimmy Butler,34379100 ,2,30.92,70.4,25.1,11.4,0.834,0.494,0.244,0.474,0.584,19.9,6.6,11,6,28.1,1.78,0.55,2.19,10.9,122.5,107.2
Joakim Noah,6431666 ,2,35.47,20.9,14.6,34.2,0.75,0.5,0,0.5,0.608,2.8,3.2,16.5,1.4,17.9,0.2,0.2,1.2,9.3,106,90.6
Joe Harris,16071429 ,1,28.94,64.1,18.3,11.3,0.719,0.553,0.424,0.596,0.606,14.5,4.3,7.3,2.1,10.4,0.59,0.25,1.52,6.6,113.1,106.4
Joe Ingles,10863637 ,2,32.87,61.8,15,19.2,0.787,0.525,0.399,0.572,0.595,9.8,3.9,7.2,5.2,24.3,0.9,0.15,1.96,7.9,115.2,105.5
Joel Embiid,29542010 ,3,26.42,61.5,33,13.8,0.807,0.516,0.331,0.512,0.59,23,11.6,21.7,3,16.9,0.86,1.29,3.12,12.6,113,96.8
John Collins,4137302 ,2,22.89,69.3,22.7,10.1,0.8,0.642,0.401,0.632,0.659,21.6,10.1,16.4,1.5,7.6,0.76,1.61,1.83,8.3,123.5,106.6
John Konchar,2093023 ,1,24.4,19.9,10.3,15.6,0.5,0.704,0.5,0.716,0.713,2.8,2.5,13.7,1.2,16.2,0.37,0.16,0.37,8.6,138.9,109.9
Jonathan Isaac,7362566 ,2,22.87,60,18.3,11.8,0.779,0.521,0.34,0.518,0.552,11.9,6.8,12.7,1.4,7.4,1.56,2.29,1.44,6.7,106.8,101.5
Jordan Poole,2063280 ,1,21.16,46.6,21,11.5,0.798,0.392,0.279,0.406,0.454,8.8,2.1,5,2.4,15.8,0.6,0.18,1.26,6.3,91.8,111.4
Josh Gray,1620564 ,1,26.93,23.6,12.6,71.4,0,0.5,0,0.5,0.5,1,1,4.7,1,10.5,0,0,2.5,3.5,47,115.8
Josh Hart,3491159 ,1,25.44,56.3,15.3,11.4,0.739,0.584,0.342,0.537,0.563,10.1,6.6,12.9,1.7,8.4,0.97,0.35,1.15,7.2,110,104.4
Josh Jackson,4767000 ,1,23.51,36.1,22.8,13.4,0.7,0.54,0.319,0.513,0.547,9,3,9.1,1.6,13.1,0.82,0.41,1.27,8.1,103,102.6
Josh Okogie,2651040 ,1,21.95,52,15.1,15.1,0.796,0.529,0.266,0.479,0.553,8.6,4.3,9.1,1.6,8.9,1.1,0.42,1.39,6.2,108.5,107.1
Josh Richardson,10800000 ,1,26.92,64.1,20.6,12.8,0.809,0.486,0.341,0.496,0.533,13.7,3.2,5.7,2.9,13.9,0.95,0.65,1.89,6.5,103.8,106
Jrue Holiday,26131111 ,1,30.18,72.3,24.6,14.7,0.709,0.509,0.353,0.516,0.537,19.1,4.8,7.4,6.7,29.1,1.62,0.8,3.07,9.8,107.4,108.8
Julius Randle,18900000 ,3,25.71,67.7,27.6,14.3,0.733,0.516,0.277,0.493,0.538,19.5,9.7,16,3.1,15.8,0.8,0.34,3.03,10.3,104.4,105.7
Justin Anderson,125000 ,2,26.74,22.4,17.1,9.1,0.5,0.444,0.207,0.342,0.352,2.8,2.1,10.1,0.8,10.1,0,0.6,0.4,6.3,77.7,100.4
Justin Holiday,5720400 ,2,31.36,52.1,13.4,7.7,0.791,0.481,0.405,0.567,0.586,8.3,3.3,7.1,1.3,6.7,1.19,0.63,0.59,5.3,113.8,103.9
Justin Jackson,5029650 ,2,25.38,33.5,15.4,3.7,0.84,0.489,0.294,0.466,0.496,5.5,2.4,7.7,0.8,6.8,0.23,0.15,0.22,5.5,107.9,109.1
Justin James,1517981 ,1,23.56,13.8,18.7,7,0.476,0.473,0.31,0.47,0.477,2.5,0.9,7.7,0.5,11.2,0.17,0.26,0.2,6.3,100.6,109.3
Justise Winslow,13000000 ,1,24.39,66.7,20.6,14.6,0.667,0.431,0.222,0.411,0.44,11.3,6.6,11.6,4,18.7,0.73,0.45,2.18,8.4,92.9,101.2
Karl-Anthony Towns,29430000 ,3,24.75,70.7,28.8,13.2,0.796,0.586,0.412,0.6,0.642,26.5,10.8,16.8,4.4,22.8,0.94,1.2,3.14,12.7,120.7,104
Kawhi Leonard,34379100 ,2,29.13,67.5,33,10.2,0.886,0.506,0.378,0.524,0.589,27.1,7.1,11.3,4.9,26.5,1.81,0.58,2.61,12.1,117,101.9
Kelan Martin,1445697 ,2,25.03,33.3,17.9,9.3,0.968,0.541,0.26,0.461,0.506,6.4,3.1,10.2,0.7,6.8,0.23,0.29,0.65,6,100.7,106.1
Keldon Johnson,2048040 ,2,20.84,36.8,17.4,10.7,0.795,0.597,0.591,0.669,0.711,9.1,3.4,10.2,0.9,7.2,0.82,0.12,0.76,6.8,130.9,105.5
